match_id,team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_home_away,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ball_remaining,ground_city,ground,ground_country,match_date
ODI # 1344,India,Sri Lanka,307,301,6,10,away,home,India,6,runs,Day and night,Singer-Akai Nidahas Trophy,Sachin Tendulkar,India,"R Premadasa Stadium, Colombo",India,bat first,,Colombo (RPS),Khettarama,Sri Lanka,07-07-1998
ODI # 1345,Sri Lanka,South Africa,258,201,10,10,away,away,Sri Lanka,57,runs,Day,Emirates Triangular Tournament,Pramodya Wickramasinghe,Sri Lanka,"Trent Bridge, Nottingham",South Africa,field first,,Nottingham,Nottingham,England,14-08-1998
ODI # 1346,England,Sri Lanka,247,211,10,10,home,away,England,36,runs,Day,Emirates Triangular Tournament,Graeme Hick,England,"Lord's, London",Sri Lanka,field first,,Lord's,St John's Wood Road,England,16-08-1998
ODI # 1347,South Africa,England,244,230,7,10,away,home,South Africa,14,runs,Day,Emirates Triangular Tournament,Pat Symcox,South Africa,"Edgbaston, Birmingham",South Africa,bat first,,Birmingham,Birmingham,England,18-08-1998
ODI # 1348,England,Sri Lanka,256,260,8,5,home,away,Sri Lanka,5,wickets,Day,Emirates Triangular Tournament,Muthiah Muralidaran,Sri Lanka,"Lord's, London",England,bat first,17,Lord's,St John's Wood Road,England,20-08-1998
ODI # 1349,Pakistan,India,189,193,9,4,away,away,India,6,wickets,Day,Pakistan tour of Canada,Sourav Ganguly,India,"Toronto Cricket, Skating and Curling Club",India,field first,38,Toronto,Toronto,Canada,12-09-1998
ODI # 1350,Pakistan,India,246,195,9,10,away,away,Pakistan,51,runs,Day,Pakistan tour of Canada,Moin Khan,Pakistan,"Toronto Cricket, Skating and Curling Club",India,field first,,Toronto,Toronto,Canada,13-09-1998
ODI # 1351,Pakistan,India,257,180,5,10,away,away,Pakistan,77,runs,Day,Pakistan tour of Canada,Inzamam-ul-Haq,Pakistan,"Toronto Cricket, Skating and Curling Club",India,field first,,Toronto,Toronto,Canada,16-09-1998
ODI # 1352,Pakistan,India,316,182,6,10,away,away,Pakistan,134,runs,Day,Pakistan tour of Canada,Shahid Afridi,Pakistan,"Toronto Cricket, Skating and Curling Club",India,field first,,Toronto,Toronto,Canada,19-09-1998
ODI # 1353,India,Pakistan,256,258,9,5,away,away,Pakistan,5,wickets,Day,Pakistan tour of Canada,Aamer Sohail,Pakistan,"Toronto Cricket, Skating and Curling Club",India,bat first,10,Toronto,Toronto,Canada,20-09-1998
ODI # 1354,Zimbabwe,India,213,216,10,2,home,away,India,8,wickets,Day,India tour of Zimbabwe,Sachin Tendulkar,India,"Queens Sports Club, Bulawayo",India,field first,46,Bulawayo,Bulawayo,Zimbabwe,26-09-1998
ODI # 1355,Zimbabwe,India,235,236,7,2,home,away,India,8,wickets,Day,India tour of Zimbabwe,Sourav Ganguly,India,"Queens Sports Club, Bulawayo",India,field first,19,Bulawayo,Bulawayo,Zimbabwe,27-09-1998
ODI # 1356,Zimbabwe,India,259,222,5,10,home,away,Zimbabwe,37,runs,Day,India tour of Zimbabwe,Craig Wishart,Zimbabwe,Harare Sports Club,India,field first,,Harare,Harare,Zimbabwe,30-09-1998
ODI # 1357,Zimbabwe,New Zealand,258,260,7,5,away,away,New Zealand,5,wickets,Day and night,Wills International Cup,Stephen Fleming,New Zealand,"Bangabandhu National Stadium, Dhaka",Zimbabwe,bat first,,Dhaka,Dhaka,Bangladesh,24-10-1998
ODI # 1358,England,South Africa,281,283,7,4,away,away,South Africa,6,wickets,Day and night,Wills International Cup,Daryll Cullinan,South Africa,"Bangabandhu National Stadium, Dhaka",England,bat first,20,Dhaka,Dhaka,Bangladesh,25-10-1998
ODI # 1359,New Zealand,Sri Lanka,188,191,10,5,away,away,Sri Lanka,5,wickets,Day and night,Wills International Cup,Arjuna Ranatunga,Sri Lanka,"Bangabandhu National Stadium, Dhaka",Sri Lanka,field first,51,Dhaka,Dhaka,Bangladesh,26-10-1998
